GLOBAL_UID,FID,Tech_UID,techName,Event,eventStartDate,eventEndDate,comment,eventType,Impact,Likelihood,References
155,19,4,Rapid 3D Modelling,Highly portable manufacturing tools developed,2030,2035,"It is possible that effective and diverse additive manufacturing tools could be developed that would much better exploit human manipulation. Handheld printing nozzles could become commercially available that allow a user to apply them to a given site with precision and then provide precision printing on that site. This could be similar to a soldering iron or a tattoo pen, except that the highly skilled element of the application would be delivered by a machine. The material itself would also be capable of altering depending on the task.",Production,Medium,Medium,
156,19,5,Rapid 3D Modelling,Bioprinting becomes highly practical,2035,2040,"There are a number of current applications for the printing of organic material, but they are generally expensive, time consuming and require large or expensive equipment. It is possible that these barriers are overcome by advances in technology, design and production methods. From the perspective of interfacing between humans and machines, this could enable humans to receive information in conceptually entirely novel ways. For example, the machine would, in essence, communicate directly with a human's biological processes at the cellular level by printing various organic components. This could see machines involved in profound changes to our bodies and the treatment of diseases.",Technology Development,High,Medium,
157,19,6,Rapid 3D Modelling,4D printing begins to emerge,2038,2040,"4D printing, which aims to print objects comprising adaptable materials which respond to different environmental stimuli, could generate a new set of latently reactive interfaces. In this paradigm, the machine would be producing objects that it is anticipating will be shaped by humans in particular ways in the future. This could see the production of materials whose properties and shape could be changed by users depending on their need.",Technology Development,High,Low,
158,20,0,Haptic Feedback Equipment,Haptics combined with 3D imagery and AR,2026,2032,"Haptic effects are likely to be increasingly integrated with 3D projected imagery and AR, supporting simulated touch sensations for objects occuring within the imagery. This is likely to require the wearing of gloves in the first instance, which are designed to deliver the haptic effects to the hands.",Integration,Medium,Low,
159,20,1,Haptic Feedback Equipment,Haptic clothing becomes common,2022,2027,"Haptic clothing may be successfully commercialised within the health and wellbeing sector. Clothing which uses different haptic effects (but primarily vibrotactile) could be used to help influence mental state. For example, clothing could use patterns of haptic effect to promote relaxation, aid sleep or increase alertness. The uptake in use of this clothing could come well before any proof of its efficacy, based on successful marketing. There could also be an increase in the use of currently available clothing, which gives haptic feedback on posture for activities such as yoga. Any increase in the market for haptic clothing would probably lead to more developments in capability as competition occurs.",Societal Adoption,Low,Medium,
160,20,2,Haptic Feedback Equipment,Haptics incorporated into many phones,2023,2027,"Future generation smartphones could potentially commonly integrate haptic capabilities far in advance of the simple vibrotactile effects seen today. This might include being able to feel the texture of objects on screen, or operate a phone by touch alone based on haptic effects (e.g. to support the visually impaired or a user who is using their visual attention for something else). This has the potential to make touchscreens a bidirectional interface for touch.",Integration,Medium,Low,
161,20,3,Haptic Feedback Equipment,Lightweight resistance gloves commercialised,2028,2033,"Smaller and more practical versions of the haptic exoskeleton gloves currently in development, which apply adjustable levels of resistance to the fingers as they contact virtual objects, could be produced. These devices modulate force as objects are held and squeezed to mimic their hardness. They are currently very bulky in design and relatively unsophisticated in the effect they deliver, but as their design improves and the realism of their mimicry advances, they could become key to allowing a virtual sense of touch.",Production,High,Low,
162,20,4,Haptic Feedback Equipment,Haptic bodysuits deployed regularly by the military,2027,2035,"Bodysuits integrating a number of haptic effects, could become a standard element of many military personnel's equipment. These suits could utilise haptics as an additional modality for relaying information about hazards, saving it as a channel of communication which is only used in critical situations and which does not get overloaded with other more routine information. Alternatively, it might be used by personnel for more routine tasks (e.g. navigation where users are directed through haptic feedback) to free up visual bandwidth for situational awareness purposes.",Defence Implication,Medium,High,
163,20,5,Haptic Feedback Equipment,Effective tactile telerobot feedback developed,2025,2033,"Enabling remote operators of robotic equipment to 'feel' what the robot is interacting with, could hugely improve the capability of telerobots. Harnessing human dexterity requires tactile feedback, which research into haptography is seeking to achieve. Incorporating this into telerobotic systems (perhaps through special haptic gloves or a stylus or other tool) could enable much more delicate tasks to be performed effectively by remotely operated robots, such as surgical procedures, technical maintenance or high risk tasks (e.g. bomb disposal).",Defence Implication,High,Medium,
164,20,6,Haptic Feedback Equipment,Direct somatosensory stimulation becomes accessible,2035,2040,"Interacting with the nervous system to produce direct somatosensory stimulation could create novel effects such as returning the sensation of feeling to individuals with neural damage, or creating phantom sensations in the uninjured. Some advances have already been made in this area, but there are a number of technical and ethical barriers to be overcome first, particularly in a healthy population prepared to use this technology for recreation.",Technology Development,High,Low,
165,20,7,Haptic Feedback Equipment,Haptic surfaces used many products,2032,2037,"Haptic surfaces could be incorporated into a wide range of equipment to provide virtual tactile cues for physical interaction. For example, rather than having handles for car doors, haptic effects could be used to help users locate the interaction area and perform the necessary action to open the door. This could significantly affect design, by allowing certain objects to be more streamlined for the purposes of style or aerodynamics.",Production,Medium,Medium,
166,21,0,Physical/Tactile Displays,Used for telepresence,2026,2030,"These devices can receive input from other sensors, for example recreating the shape of a human body, dynamically adjusting to the optically sensed movements of an individual. This means that, for example, hand gestures and movements can be recreated using a physical display in a separate location to the user. Objects can also be held in front of sensors and their shape recreated by the display. This is unlikely to have any utility outside of simply providing a physical and visible presence of an individual or object in a different location for the purposes of communication.",Societal Adoption,Low,Low,
167,21,1,Physical/Tactile Displays,Tactile displays used commercially,2025,2035,"Commercial versions of these kinds of dynamic shape displays could be developed, probably for professional settings in the first instance. Within an office context they could be used either to help shape work stations (e.g. providing shape-shifting furniture) or for geospatial design tasks, where a design shape could be shown and then instantly changed based on feedback. Once experienced in the office, this technology could be adopted at home by employees.",Societal Adoption,Medium,Low,
168,21,2,Physical/Tactile Displays,Used in medical imaging analysis,2029,2037,"Tactile displays could be adopted for use in supporting the medical image examination process by recreating the shape of scanned objects for medical staff, allowing them to feel the output of imaging. This could support better diagnostic performance.",Integration,High,Low,
169,21,3,Physical/Tactile Displays,Portable braille display units developed,2030,2036,"The generation of less bulky displays, could lead to the stage where tablet size and weight devices are available, which provide a tactile display. This could become a braille reading device similar to a Kindle for sighted reading. The device would effectively be able to dynamically render any text in braille for its user. It could even be used with optical character recognition tools to immediately translate written text into braille.",Production,High,Medium,
170,21,4,Physical/Tactile Displays,Granularity of displays increases significantly,2022,2028,"The resolution of these displays could increase significantly if the technology receives funding or interest. The arrays of taxels (physical touchable pixels) are currently fairly low resolution (at highest extending only into the hundreds). It is possible that the size of these taxels could reduce and their number could increase, creating much more granular tactile surfaces.",Technology Development,Medium,High,
171,21,5,Physical/Tactile Displays,Tactile displays utilised by the VR community,2029,2037,These types of displays might be used on a larger scale within the VR community in order to dynamically produce real world physical representations of virtual objects or surfaces. They could be integrated with VR rigs to provide users with a touch panel that enables them to feel in the environment.,Integration,Low,Medium,
172,21,6,Physical/Tactile Displays,Incorporated into smart home devices,2033,2040,"The use of tactile displays could be incorporated into smart home devices to make them capable of presenting braille to visually impaired users, substituting the use of visual displays for presenting information about their function. These displays would first have to be miniaturised and then made substantially cheaper in order to facilitate this.",Integration,Medium,Low,
173,22,0,Visual/Light Indicators,Human-centric lighting adopted widely,2021,2027,"The trend towards human-centric design and technology for lighting in work and living spaces is likely to increase. This could involve better uses of light to match occupancy and movement around a space, using sensors and data analytics to optimise efficiency and visibility. It might also involve matching lighting to external brightness or even the circadian rhythm of occupants. These systems might even enable external lighting across large spaces to be coordinated and matched to human patterns of use (e.g. across a city to support road safety or reduce crime). Underpinning all of this would need to be the development of a much more digital lighting infrastructure.",Technology Development,High,Medium,
174,22,1,Visual/Light Indicators,AI helps deliver mood dependent lighting,2032,2038,"As the understanding of interpreting mood state based on sensor data increases, it is possible that lighting systems could be developed which detect users' moods and respond with lighting settings which match or influence those moods. This could be used to help boost wellbeing or productivity.",Integration,Medium,Low,
175,22,2,Visual/Light Indicators,Smart traffic lights adopted,2025,2030,"Traffic lights may adapt to provide much more flexible and intelligent traffic management support. This could involve improved responsiveness to traffic conditions based on what the light itself can sense (perhaps using image recognition cameras or pollution detection) as well as the receipt of external signals and some predictive capabilities (e.g. using data sent by networked vehicles to understand what is about to happen at a junction). In addition to their main function, traffic lights could also take on additional functions such as displaying the speeds of passing vehicles in an attempt to influence speed reduction or display information about road conditions. As vehicles move towards greater automation, the use of light as a visual signal to drivers could be eliminated altogether.",Integration,Medium,Medium,
176,22,3,Visual/Light Indicators,Lasers used more commonly used and LEDs improve,2024,2029,"Lasers produce more light than LEDs and consume less electricity. This may drive more common application of laser lighting (for example, they are already being integrated into some car headlights. This could mean greater illumination, clarity and penetration of light in a range of conditions (night, fog, etc.). Additionally, LEDs themselves are improving dramatically, and gains in efficiency and light output are likely to occur. Reduced costs for all types of lighting could mean that many everyday objects could be fitted with lighting (e.g. receptacles that show whether they are full or hot based on a light display which is triggered by given sensors).",Societal Adoption,Low,High,
177,22,4,Visual/Light Indicators,Advances made in light therapy,2028,2033,"The effect of light on mental wellbeing is becoming increasingly well understood. It might be that such therapy develops into a useful and important tool in the treatment of mental health. In this case, individuals may have their own lighting interfaces which they use to regulate their mental state. Commercial providers could begin to produce specific devices, or this functionality could be integrated into other common devices.",Societal Adoption,Medium,Low,
178,22,5,Visual/Light Indicators,Improved power supply technology for portable lights,2023,2029,"Improvements in solar packs and battery technologies may increase the mobility of lighting systems by becoming smaller and lighter, and also by extending their charge duration. Advances in low energy lighting would also support this trend. This could mean that the use of light to communicate information to people could be extended into places where this is currently not practical. For example, being used as enduring warning signals in maritime or mountainous environments.",Production,High,High,
179,22,6,Visual/Light Indicators,New materials used widely,2024,2030,"Materials such as moldable silicone, which is robust, flexible but has many of the positive optical properties of glass, are likely to be increasingly used to develop more robust, pliable and clear lights. Also filters such as dichroic films could be developed further to allow more sophisticated and potentially controllable optical effects. It is possible developments in materials could lead to lights being used in environments or with devices that are not currently possible. For example, very thin pliable sheets of lighting could be developed inexpensively and possibly incorporated into clothing, enabling garments to be illuminated or more subtly altering their colour.",Production,Medium,High,
180,23,0,2D Visual Displays,Flexible screens become more widespread,2025,2030,"The materials required to produce bendable and foldable displays could overcome some of the key manufacturing and production challenges that currently prevent these technologies from being rolled out in a practical and commercially viable way for devices. This would lead to high quality, larger 2D display screens that would be much easier to transport and would be more physically robust.",Production,Medium,Medium,
181,23,1,2D Visual Displays,Tiny projectors begin to replace screens,2028,2035,"Miniaturisation of projector technology could see high quality projected screens delivered via small handheld devices (or even wearables). The technical difficulties in projecting onto rough or uneven surfaces could also be overcome, allowing projected touchscreens to be rendered onto any wall, table or even body surface (e.g. the back of the hand).",Technology Development,Medium,Medium,
182,23,2,2D Visual Displays,Irregular surface projection used for domestic decoration,2023,2026,"Smart wallpaper and other similar developments could become a part of modern domestic environments, enabling decoration to be modulated at the press of a button. This could support the regulation of internal environments to help influence mood.",Integration,Low,Medium,
183,23,3,2D Visual Displays,Transparent screens more commonly used,2028,2032,"2D displays that can be built into transparent surfaces (such as internal or external windows) may become straightforward and cost effective to manufacture. These screens would be opaque when on display, but transparent when turned off. This would support a number of new opportunities for delivering visual content (e.g. in vehicles, offices and commercial properties),",Societal Adoption,Low,Medium,
184,23,4,2D Visual Displays,Screen use whilst driving permitted,2030,2035,Advances in autonomous driving technologies may reach a stage where restrictions against using visual displays while nominally in control of a vehicle are amended to reflect a new reality. In this scenario the use of 2D visual displays for issuing commands to vehicles or even for infotainment purposes may be permitted.,Legal/Ethical,Medium,Low,
185,23,5,2D Visual Displays,Digital camouflage becomes feasible,2035,2040,"The ability to project images onto irregular surfaces in a dynamic and intelligent way could be mastered, making digital camouflage a practical capability that can be deployed to make objects difficult to see against any backdrop. The size and robustness of the equipment required to project images in this way could improve dramatically to enable this capability to be deployed, even in harsh environments.",Defence Implication,Medium,Low,
186,23,6,2D Visual Displays,Monitors and TVs become obsolete,2035,2040,"The use of rigid flat 2D screens might reduce significantly, as their dimensional inflexibility and bulkiness become seen as unnecessary and severely limiting. Televisions and computer monitors might no longer be fixtures in every professional and domestic setting. They could be replaced by a variety of alternatives, primarily projected screens.",Societal Adoption,High,Low,
187,24,0,3D Visual Displays,Holoprojectors become affordable,2026,2031,"Basic projectors capable of displaying 3D holograms, either via the use of a glass surface or projecting the image into open space, could be produced for a commercial market at affordable prices. They might be marketed as entertainment devices and could stimulate a boom in specific media (such as 3D films or 3D gaming). Initial devices would probably be quite limited in their capabilities, projecting into a small space and requiring a set viewing angle. However, if the medium becomes popular, this would rapidly drive developments and the sophistication of these devices could increase quickly.",Production,High,Medium,
188,24,1,3D Visual Displays,Holograms used widely in art,2024,2030,"The ability to produce realistic holograms in shared spaces could become sufficient to enable a flourishing of art based on 3D images. These images would move beyond the Pepper's Ghost illusion that is currently used in stage shows, where the image is projected onto a reflective surface. This would allow the images to be viewed from any angle. In the first instance the imagery might be static and used within the set for the staging of live performances, but soon plays or musical performances where the performers are not physically present, could become commonplace.",Societal Adoption,Low,Medium,
189,24,2,3D Visual Displays,Integration of 3D imagery with real world objects,2028,2033,"Real world objects or interfaces could be incorporated into 3D imagery, providing solidity to the image. For example, 3D images could be projected into real spaces (e.g. historical sites). They could be projected on top of buildings or specially built facades, to allow people to feel static 3D projections. Alternatively, devices such as exercise ergometers could have 3D imagery projected around them to provide the illusion of travel (e.g. cycling through an environment within a peloton).",Integration,Medium,Medium,
190,24,3,3D Visual Displays,Holograms used for teleconferencing,2034,2039,"Holograms could become a routine element of teleconferencing, allowing people to see 3D images of the person and even the environment they are remotely connected to. This could enable much richer visual information to be presented. This might enable much more informative visual inspections of people (e.g. in medical consultations) and objects (e.g. allowing a technician to give better remote advice).",Integration,Medium,Medium,
191,24,4,3D Visual Displays,3D images used in military simulation,2030,2035,"3D images could become a central part of military planning or maintaining situational awareness. 3D terrain maps, potentially with dynamic assets moving around them, could be projected into operational HQs to keep commanders and their staff apprised of the situation. This could add information value by allowing users to easily see height and depth within the operational environment.",Defence Implication,Medium,Low,
192,24,5,3D Visual Displays,Sophisticated holograms used in fraud and security,2027,2032,"The technical difficulty in generating physical holograms means that they are already used in fraud prevention for financial and identity documents or artefacts (e.g. passports and bank cards). As the technology develops and techniques get cheaper, it is possible that increasingly sophisticated holograms could feature in the process of, say, verifying an individual's identity.",Defence Implication,Low,High,
193,24,6,3D Visual Displays,Miniaturisation of 3D projection,2029,2035,"It is possible that the ability to generate 3D projected imagery could be delivered by small devices, such as smartwatches, supporting the portable delivery of small images.",Production,High,Medium,
194,24,7,3D Visual Displays,Combined with haptics to create 'solidity',2037,2040,"Techniques such as acoustic levitation could be perfected, enabling users to experience the illusion of touch to be incorporated into 3D projected images. These techniques are likely to only deliver a very superficial haptic effect, but when combined with realistic imagery, it could seem quite spectacular.",Integration,High,Low,
195,24,8,3D Visual Displays,3D imagery used for data analysis,2033,2038,"Projected 3D imagery could be used to project the outputs of data analytics into a work space. This may enable users to move around data, view it from different angles and analyse it in a more collaborative way.",Defence Implication,Medium,Medium,
196,25,0,Virtual Reality Headsets,Eye tracking widely incorporated,2024,2029,"Eye tracking is already being integrated with VR headset technology to provide effects such as foveated rendering, which enables more efficient use of available processing power to concentrate on delivering high quality images to the elements of the virtual world which are being looked at by the user. Eye tracking technology is likely to be more successfully commercially utilised in headsets in the future. This would also improve user experience for dynamic activities and social interactions. For example, it would better support hand eye coordination tasks and allow individuals within a virtual experience to establish natural eye contact.",Integration,Medium,High,
197,25,1,Virtual Reality Headsets,Development of lightweight glasses,2030,2034,"One of the key limitations of VR headsets is the bulkiness of the equipment and its lack of comfort. There is a strong commercial drive to make headsets lighter and more comfortable. The use of holographic optics and other advanced techniques could lead to the development of lightweight glasses that are able to deliver an immersive VR optical experience. In combination with earplugs, these could allow a highly mobile and comfortable interface.",Production,High,Medium,
198,25,2,Virtual Reality Headsets,High performance wireless headsets become standard,2023,2028,"Wireless headsets currently have some issues relating to connectivity and refresh rates. The expansion of 5G infrastructure and the advance of processing techniques are likely to remove most barriers to high performance wireless VR headsets. This could extend the mobility of their use, allowing people potentially to use VR in almost any environment (provided they are in a physically safe space to do so).",Technology Development,Low,High,
199,25,3,Virtual Reality Headsets,Near-real visual effects delivered,2036,2040,"Features such as the field of view, the resolution and frame rates will gradually increase to the extent where VR headsets would be able to deliver a full field of view (i.e. without a narrow range of vision) to a level of resolution and with frame rate that matches vision of the real world. The quality of the graphics themselves will also inevitably improve, such that seeing a VR environment could become indistinguishable from looking at reality.",Technology Development,High,Medium,
200,25,4,Virtual Reality Headsets,VR contact lenses developed,2035,2040,Contact lenses capable of projecting high quality images could be developed and begin to replace or act as an alternative for glasses or headsets. This could extend the portability of VR and make the experience more immersive as the image would appear closer to the eye.,Technology Development,Low,Low,
201,25,5,Virtual Reality Headsets,Psychological trauma caused by VR,2030,2035,It is possible that the quality of the visual and audio experience delivered by VR headsets could reach a stage that means that experiences within a virtual environment become capable of traumatising users. Violent games or military simulations could begin to represent a hazard to users.,Legal/Ethical,Low,Medium,
202,25,6,Virtual Reality Headsets,Substantially reduced cost of equipment,2027,2031,"The cost of lightweight VR glasses or headsets could reduce substantially which would enable the technology to move beyond its current niche status and become much more mainstream. The availability of cheap, comfortable and easy to use VR equipment would probably drive increased adoption.",Societal Adoption,High,Medium,
203,25,7,Virtual Reality Headsets,VR used to treat PTSD,2025,2030,"The quality of immersive experience delivered by VR headsets could become sufficiently high that it supports the use of VR as a means of treating PTSD, through enabling sufferers to revisit environments and experiences associated with trauma as part of the treatment process.",Defence Implication,Low,High,
204,26,0,Augmented Reality Glasses,Increased integration with device based AR,2021,2026,"There are likely to be developments in the modelling and processing underpinning AR systems which allow the coordinated synchronisation of multiple sets of AR glasses with those experiencing AR via device screens (e.g. tablets or phones). This will enable multiple individuals to have the same AR experience from different angles and through different interfaces, effectively creating a shared augmented world.",Integration,Medium,High,https://www.magicleap.com/en-us/magic-leap-1
205,26,1,Augmented Reality Glasses,Visual range and perspective delivered in AR,2022,2030,"AR glasses will probably be able to accurately track where a user is looking in the physical world and deliver augmented objects into this space in a way which completely replicates 'real' perspective and distance. This could allow the range of AR to be significantly extended, where objects can be seamlessly rendered into the background and foreground, and realistically move between the two simulating appropriate speeds. This would transform AR from a technology which currently delivers objects into the near distance, to one which could transform your entire field of view, creating simulated backgrounds (e.g. natural features or conurbations) and objects moving over long distances (e.g. vehicles).",Technology Development,High,Medium,
206,26,2,Augmented Reality Glasses,Handheld controls for AR widely used,2023,2027,"Handheld control devices could become an integral part of the AR experience, allowing users to interact with the augmented elements of AR. These wand-like devices may be similar to the hand controllers used in VR environments, or they could be similar to a mouse. They would allow users to move or stimulate augmented objects they are viewing through their glasses, and even deliver augmented effects into the view (e.g. shooting a laser).",Integration,Low,High,
207,26,3,Augmented Reality Glasses,Acceptability of glasses mounted cameras adressed,2022,2026,Resolving this issue will be critical to enabling AR experiences that are able to fully integrate and respond to the real world. It is possible that this will be legally and ethically resolved in many countries to the extent that using cameras to support certain applications (e.g. AR games) will be widely accepted by the public. This may require limits on the way information is collected and analysed for individuals who stray into the AR view without providing any consent.,Legal/Ethical,Medium,Medium,
208,26,4,Augmented Reality Glasses,Stylish glasses developed,2028,2033,"AR glasses which are indistinguishable from normal prescription glasses or sunglasses are likely to be developed. This could lead to greater adoption of smart glasses, as they come to be seen as a lightweight and acceptable fashion accessory, rather than a geeky piece of tech. This could pose a number of privacy and social interaction issues, as it becomes difficult to determine if someone is using AR or not (potentially receiving data about people with whom they are meeting).",Societal Adoption,High,High,
209,26,5,Augmented Reality Glasses,AR becomes integral to everyday life,2030,2035,"It is possible that the use of AR glasses becomes as integral a part of everyday life as is the use of smartphones. This could mean that individuals wear their glasses or have them to hand for most periods of the day, and consume content (e.g. games, directions, advertising, news) within many different settings (commuting, in the office and at home for entertainment). The widespread use of such an immersive technology could have profound impacts on the way the world around us is designed.",Societal Adoption,High,Low,
210,26,6,Augmented Reality Glasses,5G developments support ubiquitous AR,2025,2030,5G (as well as edge computing) infrastructure could develop sufficiently to enable the delivery of high quality and ubiquitous AR services to users via their glasses. Users may be provided with reliable and uninterrupted access to AR in most pockets of the developed world. This would support AR's use for many more services and in a wider set of contexts than is currently possible.,Technology Development,,,
211,26,7,Augmented Reality Glasses,AR glasses fully adopted by dismounted personnel,2032,2038,"Trials and experiments currently being conducted with Western military forces could translate into the development of AR glasses that are capable of being used effectively in an operational military setting by a large number of dismounted personnel. A number of issues to do with the user experience, attentional focus, the reliability of service provision and the development of the right supporting software and services will need to be addressed first. This could see most dismounted personnel in receipt of visual information (e.g. directions, data about an environment, etc.) while they perform their duties.",Defence Implication,High,Medium,
212,26,8,Augmented Reality Glasses,AR effectively integrated with haptics,2030,2035,"Haptic technologies, such as haptic suits and gloves, could be integrated with the use of AR glasses to deliver multisensory AR experiences, where individuals can feel some of the augmented environment and its objects. This would help generate even more immersive AR environments.",Integration,Medium,Low,
213,27,0,Audio Indicators,Personalised sound further developed,2021,2024,"The sophistication of the delivery of sound via smart headphones may increase, such that devices are able to accurately measure hearing and deliver sound to optimise a wide range of listening experiences for the individual user.",Technology Development,Medium,Medium,
214,27,1,Audio Indicators,Augmented audio,2021,2025,"Devices which are worn close to the ear, but do not block it, could be developed to allow the external world to be heard and its natural sound to be augmented by synthetic sound. These devices would be used with other technologies to deliver augmented reality experiences, such as listening to music privately while still being able to hold a conversation with someone in the real world.",Technology Development,Low,Medium,
215,27,2,Audio Indicators,Legislation of sound for deterrence,2022,2028,"Legislation limiting the use of long range acoustic devices for the dispersal of crowds may be introduced, severely curtailing their use in law enforcement and defence in many countries.",Legal/Ethical,Low,Medium,
216,27,3,Audio Indicators,Cochlear implant technology advances significantly,2026,2030,"Surgical procedures and the devices themselves are likely to develop to an extent that means inserting a cochlear implant becomes much less traumatic. The quality of their detection and relay of environmental sound, in some cases, could become comparable to a natural cochlear. This may have a dramatic effect on hearing impairment.",Technology Development,High,Medium,
217,27,4,Audio Indicators,Use of ear implants among non-hearing impaired becomes common,2035,2040,"Ear implants could be developed to enhance hearing, allowing humans to hear sounds that are currently inaudible, both in terms of pitch and volume. These may possibly be adopted by those without hearing impairments as a move towards transhumanism. The devices would be able to be modulated so that they can be turned on and off and various capabilities could be used in different situations. This would open up new ways to experience the world around us.",Societal Adoption,High,Low,
218,27,5,Audio Indicators,Noise cancellating headphones get cheaper and smaller,2021,2026,"Active noise cancelling headphones are likely to start being manufactured for much lower prices and become less bulky, leading to rapid increases in market share for the headphone market.",Production,Low,High,
219,27,6,Audio Indicators,Emotionally responsive sound,2030,2035,"Sound might be used as part of a smart home system to positively modulate the mood of residents. The system would be able to sense mood using various approaches based on image recognition and other indicators, and learns to deliver sounds to reduce stress or invigorate an individual in an intuitive way.",Integration,Low,Low,
220,27,7,Audio Indicators,3D sound becomes the default,2025,2030,"3D audio could become the standard way of delivering sound to listeners using most devices. Most new music could begin to be recorded using 3D sound techniques, becoming a central part of the production and artistic process. All devices would then start to be developed to better deliver 3D sound and 3D headphones would become standard.",Societal Adoption,Medium,Medium,
221,28,0,Brain Computer Interfaces,BCI implants become less invasive,2025,2028,It is likely that BCI implants will become less inherently invasive (e.g. removing the need for wires passing through the skull or solving some of the issues related to stimulating immune responses) and that the surgical procedures to position the implant will concomitantly improve. This may make the process of obtaining an implant much less risky and more commercially viable.,Technology Development,Medium,High,
222,28,1,Brain Computer Interfaces,Neurophysiology research increases BCI sophistication,2025,2030,"A combination of improvements in the understanding of brain function, signal processing capabilities and advanced data analytic techniques (drawing on new machine learning approaches) could lead to dramatic leaps in the ability to decode the brain's neural activity. In the first instance, this might enable BCIs to reliably and accurately interpret physical and mental actions in a wide number of settings.",Technology Development,High,Medium,
223,28,2,Brain Computer Interfaces,Effective marketing of non-invasive BCIs,2026,2030,A cleverly marketed and stylishly designed non-invasive BCI might become a trailblazer for this interface (in a similar way as occurred with Fitbits and smartwatches). This could see a dramatic increase in both public awareness and usage of BCIs. Their growth in the user community would be likely to stimulate associated services for these BCIs. Other developers would be likely to try and mimic the device developed by any early market leader.,Societal Adoption,Medium,Medium,
224,28,3,Brain Computer Interfaces,Commercial apps for BCIs developed,2028,2032,"If there were growth in the ownership of BCIs, there would also be a growth in the number of applications available to exploit this technology (as has been seen with the growth in VR gaming and the release of latest generation VR headsets). In addition to gaming, there might also be a number of applications that use input from BCIs to deliver services (in the same fashion as smart speakers have seen an increasing number of voice controlled personal assistant services). These services could range from the control of domestic appliances and environments, to ways of selecting options presented via a visual screen (e.g. selecting TV content to watch without a remote control). The fidelity of the input is likely to be insufficient to enable complex and detailed commands to be relayed.",Production,Low,Medium,
225,28,4,Brain Computer Interfaces,Some neurological impairments overcome,2032,2037,"Disabilities associated with certain neurological conditions (e.g. those based on trauma to the spinal cord) may be effectively overcome by improved BCI sensors and processing, combined with embedded devices which bypass the sites of any neural damage. Paralysis of this kind could be effectively eradicated.",Societal Adoption,High,Medium,
226,28,5,Brain Computer Interfaces,BCI implants used more widely by general population,2035,2040,"The general public may become more willing to have BCI implants if the process becomes sufficiently safe, convenient and affordable. It could start to be perceived in the same way that laser eye surgery or even tattooing is currently seen. A greater uptake of BCI implants might open up a number of applications for human-to-human interactions. It is possible that implanted BCIs could be viewed as an accepted, and even obvious upgrade to commercially available non-invasive BCIs.",Societal Adoption,High,Low,
227,28,6,Brain Computer Interfaces,Issues arise relating to BCI data privacy,2025,2028,"The public are likely to become conscious of the privacy issues surrounding the use of BCIs, which may be portrayed by the media as being able to read minds and then relay this data to service providers. There is therefore likely to be a push to tightly regulate how this information can be stored, shared and analysed by companies handling BCI derived data. This could take the form of legislation resembling the way biometric data is treated in many cases. A single example of misuse of this data could have a dramatic impact on public perceptions and willingness to adopt the technology.",Legal/Ethical,Low,High,
228,28,7,Brain Computer Interfaces,The boundaries of mental agency are blurred,2036,2040,"AI analysis and interpretation of BCI derived data could develop to an extent that extends far beyond capturing of motor signals or enabling simple option selection. This could effectively lead to a much greater capacity to 'read' human thought. This might open up opportunities relating to interpreting complex patterns of thought, such as intent and desire, and relaying these to machines. This would pose significant challenges to our existing concepts of mental agency, where machines might be instructed to do things based on something other than conscious thought.",Legal/Ethical,High,Low,
229,28,8,Brain Computer Interfaces,BCIs used to treat mental illness,2032,2035,"BCIs could be used in the treatment of mental illness by stimulating certain parts of the brain (e.g. the reward centre) in response to changes in mood state, which are in turn detected by a BCI. This could be important for conditions such as depression, and might be the beginning of technologies which support bi-directional information flows.",Societal Adoption,High,Medium,
230,28,9,Brain Computer Interfaces,Sophisticated bi-directional BCIs developed,2036,2040,"It is possible that effective bi-directional systems could be developed, which allow targeted stimulation of parts of the brain. This could lead to the ability to generate non-volitional movements that are as responsive and precise as our volitional movements, allowing a human body to effectively be controlled. It could even allow brain activity to be regulated in some ways, and maybe even generate patterns of thought, although there are a large number of challenges to overcome before this would be possible.",Technology Development,High,Low,
231,28,10,Brain Computer Interfaces,Neural lace for humans successfully used,2038,2040,"Neural lace, a thin mesh like material which is injected into the brain and physically integrates directly with neurons, even adapting to changes within the brain, could be successfully trialled with human users. This technology would allow a much greater surface area of connectivity and has the potential to revolutionise the capabilities that BCIs could support. For example, it may be possible for human memory to be augmented by digital storage. It would also be a much less invasive procedure than surgical implants, which could increase adoption.",Technology Development,High,Low,
232,29,0,Olfactory Interfaces,Commercial availability of rudimentary olfactory interfaces,2024,2028,Initial devices could be launched onto the market which meet niche or novelty requirements (e.g. to support immersive gaming or in support of art or museum installations). These devices would raise public awareness of the possibilities available to interfaces utilising the sense of smell.,Production,Low,Low,
233,29,1,Olfactory Interfaces,Research into digital delivery of smell conducted,2021,2026,"An increasing body of research into the impact of smell on factors such as mood and memory, could uncover more powerful ways to affect emotion and cognition through manipulating smell. This may drive more funding into research to develop devices which could deliver smell to users in order to exploit these effects.",Technology Development,Low,Medium,
234,29,2,Olfactory Interfaces,Minitiarisation of olfactory interfaces,2030,2035,Technologies designed to synthetically produce scents could be developed and minitiarised to an extent which makes wearable olfactory interfaces a practical option. These interfaces might mix different ingredients to deliver a palette of scents to users. The delivery directly to nostrils could reduce the amounts of chemical components required.,Technology Development,Medium,Low,
