GLOBAL_UID,CCF_UID,COGNITIVE_CHALLENGE_FAMILY_NUMBER,COGNITIVE_CHALLENGE_FAMILY,COGNITIVE_CHALLENGE_NUMBER,COGNITIVE_CHALLENGE_FULL,COGNITIVE_CHALLENGE,TECHNOLOGY_NUMBER,TECHNOLOGY,VALUE,binary,weighted
812,232,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,1,Touchscreens,1,1,2
813,233,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,2,Touch-interactive large objects,0,0,0
814,234,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,3,Gesture and movement sensors,1,1,1
815,235,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,4,Handheld controllers,0,0,0
816,236,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,5,Keyboard and text input devices,0,0,0
817,237,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,6,Drawing or writing implements,1,1,1
818,238,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,7,Image recognition cameras,1,1,1
819,239,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,8,Eye tracking equipment,1,1,1
820,240,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,9,Physiological monitors,1,1,1
821,241,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,10,Physical virtual reality control interfaces,0,0,0
822,242,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,11,Smart clothing and other wearables,1,1,1
823,243,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,12,Telepresence equipment,1,1,2
824,244,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,13,Speech-based interfaces,0,0,0
825,245,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,14,Vehicle controls,0,0,0
826,246,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,15,Robot controller interfaces,0,0,0
827,247,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,16,Exoskeletons,0,0,0
828,248,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,17,Body-integrated interfaces,1,1,1
829,249,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,18,Smart home devices,1,1,1
830,250,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,19,Rapid 3D modelling,1,1,1
831,251,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,20,Haptic feedback equipment,0,0,0
832,252,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,21,Physical/tactile displays,1,1,2
833,253,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,22,Visual/light indicators,1,1,1
834,254,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,23,1D visual displays,1,1,2
835,255,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,24,3D visual displays,1,1,2
836,256,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,25,Virtual reality headsets,1,1,2
837,257,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,26,Augmented reality glasses,1,1,2
838,258,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,27,Audio indicators,1,1,2
839,259,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,28,Brain computer interface,0,0,0
840,260,FAMILY4,4. Operation of novel equipment,4.9,"Consequences of advanced materials (lower weight, stealth and/or self repairing).",Dealing with advanced materials,29,Olfactory interfaces,0,0,0
841,0,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,1,Touchscreens,1,1,2
842,1,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,2,Touch-interactive large objects,1,1,1
843,2,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,3,Gesture and movement sensors,0,0,0
844,3,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,4,Handheld controllers,0,0,0
845,4,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,5,Keyboard and text input devices,0,0,0
846,5,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,6,Drawing or writing implements,1,1,2
847,6,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,7,Image recognition cameras,1,1,1
848,7,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,8,Eye tracking equipment,1,1,1
849,8,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,9,Physiological monitors,0,0,0
850,9,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,10,Physical virtual reality control interfaces,0,0,0
851,10,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,11,Smart clothing and other wearables,0,0,0
852,11,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,12,Telepresence equipment,1,1,2
853,12,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,13,Speech-based interfaces,0,0,0
854,13,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,14,Vehicle controls,0,0,0
855,14,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,15,Robot controller interfaces,0,0,0
856,15,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,16,Exoskeletons,0,0,0
857,16,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,17,Body-integrated interfaces,0,0,0
858,17,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,18,Smart home devices,0,0,0
859,18,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,19,Rapid 3D modelling,1,1,2
860,19,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,20,Haptic feedback equipment,0,0,0
861,20,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,21,Physical/tactile displays,1,1,2
862,21,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,22,Visual/light indicators,0,0,0
863,22,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,23,1D visual displays,1,1,2
864,23,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,24,3D visual displays,1,1,2
865,24,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,25,Virtual reality headsets,1,1,2
866,25,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,26,Augmented reality glasses,1,1,2
867,26,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,27,Audio indicators,1,1,1
868,27,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,28,Brain computer interface,1,1,3
869,28,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.1,Analysis and predictive modelling of social behaviour for operations.,Behavioural analytics,29,Olfactory interfaces,1,1,1
870,29,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,1,Touchscreens,1,1,2
871,30,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,2,Touch-interactive large objects,1,1,1
872,31,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,3,Gesture and movement sensors,0,0,0
873,32,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,4,Handheld controllers,0,0,0
874,33,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,5,Keyboard and text input devices,0,0,0
875,34,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,6,Drawing or writing implements,1,1,1
876,35,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,7,Image recognition cameras,1,1,2
877,36,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,8,Eye tracking equipment,1,1,2
878,37,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,9,Physiological monitors,0,0,0
879,38,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,10,Physical virtual reality control interfaces,0,0,0
880,39,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,11,Smart clothing and other wearables,0,0,0
881,40,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,12,Telepresence equipment,1,1,3
882,41,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,13,Speech-based interfaces,0,0,0
883,42,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,14,Vehicle controls,0,0,0
884,43,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,15,Robot controller interfaces,0,0,0
885,44,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,16,Exoskeletons,0,0,0
886,45,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,17,Body-integrated interfaces,0,0,0
887,46,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,18,Smart home devices,0,0,0
888,47,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,19,Rapid 3D modelling,1,1,1
889,48,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,20,Haptic feedback equipment,1,1,1
890,49,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,21,Physical/tactile displays,1,1,2
891,50,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,22,Visual/light indicators,0,0,0
892,51,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,23,1D visual displays,1,1,2
893,52,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,24,3D visual displays,1,1,2
894,53,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,25,Virtual reality headsets,1,1,2
895,54,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,26,Augmented reality glasses,1,1,2
896,55,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,27,Audio indicators,0,0,0
897,56,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,28,Brain computer interface,1,1,1
898,57,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.2,Working with the outputs of automated anomaly detection (this could vary from computer processing of reconnaissance data through to real-time processing of video data).,Anomaly detection,29,Olfactory interfaces,1,1,1
899,58,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,1,Touchscreens,1,1,1
900,59,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,2,Touch-interactive large objects,1,1,1
901,60,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,3,Gesture and movement sensors,0,0,0
902,61,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,4,Handheld controllers,0,0,0
903,62,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,5,Keyboard and text input devices,0,0,0
904,63,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,6,Drawing or writing implements,1,1,1
905,64,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,7,Image recognition cameras,1,1,1
906,65,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,8,Eye tracking equipment,1,1,1
907,66,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,9,Physiological monitors,0,0,0
908,67,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,10,Physical virtual reality control interfaces,0,0,0
909,68,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,11,Smart clothing and other wearables,0,0,0
910,69,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,12,Telepresence equipment,1,1,1
911,70,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,13,Speech-based interfaces,0,0,0
912,71,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,14,Vehicle controls,0,0,0
913,72,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,15,Robot controller interfaces,0,0,0
914,73,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,16,Exoskeletons,0,0,0
915,74,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,17,Body-integrated interfaces,0,0,0
916,75,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,18,Smart home devices,0,0,0
917,76,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,19,Rapid 3D modelling,1,1,1
918,77,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,20,Haptic feedback equipment,0,0,0
919,78,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,21,Physical/tactile displays,1,1,1
920,79,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,22,Visual/light indicators,0,0,0
921,80,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,23,1D visual displays,1,1,1
922,81,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,24,3D visual displays,1,1,1
923,82,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,25,Virtual reality headsets,1,1,1
924,83,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,26,Augmented reality glasses,1,1,1
925,84,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,27,Audio indicators,0,0,0
926,85,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,28,Brain computer interface,1,1,1
927,86,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.3,Dealing with the actionable outputs of big data analytics techniques in general.,Big data analytics,29,Olfactory interfaces,0,0,0
928,87,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,1,Touchscreens,1,1,1
929,88,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,2,Touch-interactive large objects,1,1,1
930,89,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,3,Gesture and movement sensors,0,0,0
931,90,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,4,Handheld controllers,0,0,0
932,91,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,5,Keyboard and text input devices,0,0,0
933,92,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,6,Drawing or writing implements,1,1,1
934,93,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,7,Image recognition cameras,1,1,1
935,94,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,8,Eye tracking equipment,1,1,1
936,95,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,9,Physiological monitors,0,0,0
937,96,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,10,Physical virtual reality control interfaces,0,0,0
938,97,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,11,Smart clothing and other wearables,0,0,0
939,98,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,12,Telepresence equipment,1,1,1
940,99,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,13,Speech-based interfaces,0,0,0
941,100,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,14,Vehicle controls,0,0,0
942,101,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,15,Robot controller interfaces,0,0,0
943,102,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,16,Exoskeletons,0,0,0
944,103,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,17,Body-integrated interfaces,0,0,0
945,104,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,18,Smart home devices,0,0,0
946,105,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,19,Rapid 3D modelling,1,1,1
947,106,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,20,Haptic feedback equipment,0,0,0
948,107,FAMILY5,5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,5.4,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Integrating digital information,21,Physical/tactile displays,1,1,1
