Cognitive Challenge Family Name,Individual Cognitive Challenge Short Name,Individual Cognitive Challenge Long Name,Technology Name,Linked 0/1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Physical virtual reality control interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Smart clothing and other wearables,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Telepresence equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Speech-based interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Vehicle controls,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Robot Controller Interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Exoskeletons,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Body-integrated interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Smart home devices,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Rapid 3D modelling,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Haptic feedback equipment,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Physical/tactile displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Visual/light indicators,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",2D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",3D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Virtual reality headsets,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Augmented reality glasses,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Integrating digital information,"Integrating large amounts of intelligence generated from digital systems (e.g., Internet, internet-of-things, telemetry, etc).",Audio indicators,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Touchscreens,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Touch-interactive large objects,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Gesture and movement sensors,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Handheld controllers,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Keyboard and text input devices,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Drawing or writing implements,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Image recognition cameras,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Eye tracking equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Physiological monitors,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Physical virtual reality control interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Smart clothing and other wearables,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Telepresence equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Speech-based interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Vehicle controls,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Robot Controller Interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Exoskeletons,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Body-integrated interfaces,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Smart home devices,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Rapid 3D modelling,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Haptic feedback equipment,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Physical/tactile displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Visual/light indicators,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",2D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",3D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Virtual reality headsets,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Augmented reality glasses,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Exploiting surveillance data,"Making use of ubiquitous surveillance data (e.g., from space).",Audio indicators,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Touchscreens,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Touch-interactive large objects,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Gesture and movement sensors,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Handheld controllers,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Keyboard and text input devices,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Drawing or writing implements,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Image recognition cameras,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Eye tracking equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Physiological monitors,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Physical virtual reality control interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Smart clothing and other wearables,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Telepresence equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Speech-based interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Vehicle controls,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Robot Controller Interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Exoskeletons,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Body-integrated interfaces,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Smart home devices,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Rapid 3D modelling,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Haptic feedback equipment,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Physical/tactile displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Visual/light indicators,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,2D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,3D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Virtual reality headsets,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Augmented reality glasses,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Maintaining cyber situation awareness,Maintaining cyber situation awareness.,Audio indicators,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Touchscreens,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Touch-interactive large objects,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Gesture and movement sensors,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Handheld controllers,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Keyboard and text input devices,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Drawing or writing implements,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Image recognition cameras,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Eye tracking equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Physiological monitors,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Physical virtual reality control interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Smart clothing and other wearables,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Telepresence equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Speech-based interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Vehicle controls,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Robot Controller Interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Exoskeletons,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Body-integrated interfaces,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Smart home devices,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Rapid 3D modelling,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Haptic feedback equipment,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Physical/tactile displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Visual/light indicators,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,2D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,3D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Virtual reality headsets,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Augmented reality glasses,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Monitoring consequences of biological weapons,Monitoring and understanding the consequences of biological / pathogen / genetic weapons.,Audio indicators,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Touchscreens,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Touch-interactive large objects,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Gesture and movement sensors,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Handheld controllers,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Keyboard and text input devices,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Drawing or writing implements,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Image recognition cameras,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Eye tracking equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Physiological monitors,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Physical virtual reality control interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Smart clothing and other wearables,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Telepresence equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Speech-based interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Vehicle controls,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Robot Controller Interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Exoskeletons,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Body-integrated interfaces,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Smart home devices,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Rapid 3D modelling,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Haptic feedback equipment,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Physical/tactile displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Visual/light indicators,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,2D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,3D visual displays,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Virtual reality headsets,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Augmented reality glasses,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Social media operations,Counter exploitation of social media and fake news in the operational context.,Audio indicators,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Touchscreens,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Touch-interactive large objects,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Gesture and movement sensors,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Handheld controllers,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Keyboard and text input devices,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Drawing or writing implements,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Image recognition cameras,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Eye tracking equipment,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Physiological monitors,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Physical virtual reality control interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Smart clothing and other wearables,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Telepresence equipment,1,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Speech-based interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Vehicle controls,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Robot Controller Interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Exoskeletons,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Body-integrated interfaces,0,,,,,,,,,,,,,,,
5. Processing significant streams of surveillance/intelligence/data and understanding complex systems,Lawfare,"Understanding how to operate in areas of legal dispute, constant surveillance, complex Rules of Engagement (ROE) and ""lawfare"".",Smart home devices,0,,,,,,,,,,,,,,,
